city,line,name
上海,1号线,延长路
长沙,1号线,大托
洛阳,1号线,应天门
沈阳,1号线,十三号街
福州,1号线,排下
哈尔滨,1号线,工程大学
太原,2号线,龙兴街
东莞,2号线,珊美
徐州,1号线,金龙湖
香港,东铁线(羅湖-紅磡),沙田
成都,1号线(五根松-韦家碾),华西坝
杭州,1号线,火车东站
武汉,1号线,古田四路
苏州,1号线,文化博览中心
合肥,1号线,朱岗
太原,2号线,龙城公园
大连,1号线,学苑广场
呼和浩特,1号线,呼和浩特东站
郑州,1号线,二七广场
南宁,1号线,白苍岭
石家庄,1号线,火炬广场
长春,2号线,西湖
香港,东铁线(羅湖-紅磡),火炭
佛山,佛山2号线,南庄
郑州,1号线,人民路·河南中医一附院
南京,1号线,软件大道
南昌,1号线,谢家村
香港,东铁线(羅湖-紅磡),大学
贵阳,1号线,贵阳北站
宁波,1号线,福明路
济南,2号线,老屯
青岛,1号线,安顺路
深圳,1号线/罗宝线,世界之窗
郑州,1号线,紫荆山
兰州,1号线,拱星墩
重庆,1号线,沙坪坝
常州,1号线,翠竹
温州,S2线,万岙
乌鲁木齐,1号线,新兴街
天津,1号线,华山里
广州,佛山2号线,石洲
无锡,1号线,庄前
北京,1号线八通线,南礼士路
厦门,1号线,集美学村
乌鲁木齐,1号线,北门
长沙,1号线,中信广场
沈阳,2号线,蒲田路
昆明,1号线(环城南路-大学城南),大学城
哈尔滨,1号线,太平桥
厦门,1号线,园博苑
大连,1号线,海事大学
西安,1号线,皂河
福州,1号线,城门
上海,1号线,上海马戏城
洛阳,1号线,丽景门
厦门,1号线,杏林村
徐州,1号线,徐州东站
东莞,2号线,展览中心
洛阳,1号线,洛邑古城
南宁,1号线,广西大学
合肥,1号线,合工大南区
石家庄,1号线,石家庄东站
太原,2号线,嘉节
苏州,1号线,时代广场
呼和浩特,1号线,后不塔气
郑州,1号线,燕庄
成都,1号线(五根松-韦家碾),锦江宾馆
杭州,1号线,彭埠
长春,2号线,双丰
武汉,1号线,古田三路
南昌,1号线,青山湖大道
洛阳,1号线,夹马营
南京,1号线,天隆寺
佛山,佛山2号线,湖涌
郑州,1号线,民航路
兰州,1号线,焦家湾
青岛,1号线,胜利桥(纺织谷)
深圳,1号线/罗宝线,白石洲
杭州,1号线,七堡
济南,2号线,八里桥
香港,东铁线(羅湖-紅磡),大埔墟
宁波,1号线,樱花公园
贵阳,1号线,白鹭湖
常州,1号线,常州火车站
重庆,1号线,杨公桥
温州,S2线,盐盆
天津,1号线,财经大学
郑州,1号线,会展中心
广州,佛山2号线,仙涌
北京,1号线八通线,复兴门
无锡,1号线,民丰
杭州,1号线,九和路
乌鲁木齐,1号线,南门
郑州,1号线,黄河南路
哈尔滨,1号线,交通学院
沈阳,2号线,蒲河路
长沙,1号线,尚双塘
昆明,1号线(环城南路-大学城南),大学城南
成都,1号线(五根松-韦家碾),天府广场
大连,1号线,七贤岭
福州,1号线,三角埕
上海,1号线,汶水路
西安,1号线,枣园
沈阳,2号线,人杰湖公园
东莞,2号线,虎门火车站
厦门,1号线,杏锦路
徐州,2号线,客运北站
呼和浩特,1号线,什兰岱
洛阳,1号线,启明南路
太原,2号线,电子西街
合肥,1号线,包公园
苏州,1号线,星湖街
南宁,1号线,鲁班路
石家庄,1号线,南村
南宁,1号线,动物园
佛山,佛山2号线,绿岛湖
南京,1号线,安德门
大连,1号线,河口
南昌,1号线,高新大道
武汉,1号线,古田二路
长春,2号线,长春西站
石家庄,1号线,洨河大道
青岛,1号线,中心医院
深圳,1号线/罗宝线,高新园
兰州,1号线,东岗
济南,2号线,益康路
广州,佛山2号线,花卉世界
香港,东铁线(羅湖-紅磡),太和
长春,2号线,兴隆堡
宁波,1号线,舟孟北路
无锡,1号线,无锡火车站
重庆,1号线,烈士墓
贵阳,1号线,新寨
天津,1号线,双林
温州,S2线,新望
常州,1号线,博爱路
北京,1号线八通线,西单
济南,2号线,济南站北
香港,东铁线(羅湖-紅磡),粉岭
郑州,1号线,农业南路
哈尔滨,1号线,桦树街
长沙,2号线,梅溪湖西
无锡,1号线,胜利门
乌鲁木齐,1号线,二道桥
杭州,1号线,九堡
香港,东铁线(羅湖-紅磡),上水
沈阳,2号线,辽宁大学
昆明,1号线(环城南路-昆明南火车站),环城南路
长沙,2号线,麓云路
苏州,1号线,南施街
呼和浩特,1号线,白塔西
太原,2号线,康宁街
合肥,1号线,大东门
沈阳,2号线,航空航天大学
福州,1号线,胪雷
上海,1号线,彭浦新村
西安,1号线,汉城路
徐州,2号线,李沃
成都,1号线(五根松-韦家碾),骡马市
厦门,1号线,官任
太原,2号线,通达街
南宁,1号线,清川
洛阳,1号线,塔湾
南京,1号线,中华门
南昌,1号线,艾溪湖西
大连,2号线,大连北站
佛山,佛山2号线,智慧新城
成都,1号线(五根松-韦家碾),文殊院
兰州,2号线,雁白大桥
青岛,1号线,水清沟
石家庄,1号线,西庄
深圳,1号线/罗宝线,深大
南宁,1号线,民族大学
大连,2号线,南关岭
广州,佛山2号线,登洲
武汉,1号线,古田一路
成都,1号线(五根松-韦家碾),人民北路
济南,2号线,济泺路
武汉,1号线,舵落口
长春,2号线,西环城路
贵阳,1号线,阳关
温州,S2线,翁垟
宁波,1号线,江厦桥东
重庆,1号线,磁器口
常州,1号线,文化宫
天津,1号线,李楼
北京,1号线八通线,天安门西
济南,2号线,生产路
哈尔滨,1号线,哈尔滨东站
无锡,1号线,三阳广场
乌鲁木齐,1号线,新疆大学
杭州,1号线,客运中心
郑州,1号线,东风南路
